generation,best_fitness,mean_fitness,best_ticks,mean_ticks,best_fruits,mean_fruits,deaths_wall,deaths_self,deaths_stall,deaths_timeout
1,10260.00,102.95,54,27.46,2,0.03,75,0,125,0
2,4772.00,94.19,11,34.70,1,0.01,31,0,169,0
3,140.00,86.22,40,36.44,0,0.00,21,0,179,0
4,15420.00,161.93,88,36.30,3,0.01,23,0,177,0
5,20660.00,977.15,129,38.40,4,0.17,18,1,181,0
6,30320.00,754.16,89,32.37,6,0.14,54,2,144,0
7,30450.00,797.66,98,31.39,6,0.15,56,6,138,0
8,25130.00,1975.56,55,29.80,5,0.40,53,29,118,0
9,35220.00,2973.95,61,40.86,7,0.57,43,10,147,0
10,55940.00,3357.98,150,38.94,11,0.66,56,16,127,1
11,35500.00,2001.99,99,35.08,7,0.39,45,15,140,0
12,45950.00,6131.41,150,37.59,9,1.21,44,10,145,1
13,25490.00,3849.44,93,34.98,5,0.76,51,16,133,0
14,55510.00,3042.31,86,41.13,11,0.58,24,16,156,4
15,45950.00,3876.26,149,39.38,9,0.76,39,15,146,0
16,60920.00,2832.01,150,38.59,12,0.55,34,17,146,3
17,50720.00,4895.98,148,44.53,10,0.95,45,17,137,1
18,50760.00,4345.87,145,43.26,10,0.84,22,29,147,2
19,50930.00,7486.40,150,53.35,10,1.46,40,27,128,5
20,50940.00,8057.93,150,46.03,10,1.58,24,42,130,4
21,56010.00,7528.70,150,53.28,11,1.47,17,24,146,13
22,55960.00,13915.41,150,55.13,11,2.75,16,41,131,12
23,61090.00,14911.25,150,70.95,12,2.91,11,17,143,29
24,61040.00,16301.11,150,66.28,12,3.19,18,17,116,49
25,55930.00,10469.46,150,60.70,11,2.04,14,2,155,29
26,65940.00,15235.08,150,71.19,13,2.98,23,7,128,42
27,66040.00,18064.82,150,71.01,13,3.54,14,7,135,44
28,60960.00,15733.05,150,70.53,12,3.08,24,3,131,42
29,65840.00,19924.84,147,70.65,13,3.92,23,49,113,15
30,60990.00,12414.85,150,63.02,12,2.42,17,10,153,20
31,61120.00,14984.66,150,64.55,12,2.93,29,12,127,32
32,55970.00,15066.84,150,67.22,11,2.95,31,2,125,42
33,55900.00,17068.42,150,75.86,11,3.34,14,4,121,61
34,50910.00,13228.64,150,71.11,10,2.58,19,1,150,30
35,60910.00,15058.26,150,68.36,12,2.96,29,22,122,27
36,61130.00,12796.25,150,59.20,12,2.50,29,19,129,23
37,71020.00,16101.13,150,66.02,14,3.16,37,2,119,42
38,70740.00,14516.13,149,60.60,14,2.85,21,22,127,30
39,50900.00,12714.55,150,65.99,10,2.48,17,12,140,31
40,71090.00,16081.37,150,68.78,14,3.15,19,3,128,50
41,50930.00,16905.41,150,71.24,10,3.31,11,8,156,25
42,56000.00,13658.29,150,65.55,11,2.67,19,11,132,38
43,55820.00,11150.75,150,59.60,11,2.19,5,16,148,31
44,55870.00,16362.41,150,68.18,11,3.21,25,10,120,45
45,61000.00,9950.83,150,59.78,12,1.94,21,11,151,17
46,55880.00,12945.52,150,67.35,11,2.53,24,3,137,36
47,60950.00,10404.02,150,57.72,12,2.03,30,1,144,25
48,65880.00,11116.56,150,57.00,13,2.18,28,8,132,32
49,70760.00,9827.81,138,60.71,14,1.92,19,1,142,38
50,61150.00,12523.88,150,64.61,12,2.44,46,5,110,39
51,60960.00,15562.89,150,74.98,12,3.04,14,0,148,38
52,65890.00,18241.01,150,74.63,13,3.58,17,28,127,28
53,70950.00,15680.71,150,59.56,14,3.09,23,28,133,16
54,55950.00,11787.78,150,61.24,11,2.31,20,9,137,34
55,66070.00,14868.25,150,65.91,13,2.91,31,8,134,27
56,61080.00,14258.11,150,65.67,12,2.79,23,9,142,26
57,60840.00,15134.33,150,65.19,12,2.96,24,35,125,16
58,55970.00,15550.34,150,68.36,11,3.04,19,12,126,43
59,50970.00,10692.34,150,61.83,10,2.08,24,3,147,26
60,65900.00,15197.15,150,69.62,13,2.98,14,7,150,29
61,55540.00,10954.46,106,65.87,11,2.13,19,1,140,40
62,71000.00,16049.76,150,66.47,14,3.15,19,18,136,27
63,65950.00,13794.28,150,65.16,13,2.70,12,14,144,30
64,50870.00,10910.57,150,63.87,10,2.13,20,2,138,40
65,50910.00,11203.55,150,63.72,10,2.19,22,2,136,40
66,66040.00,14854.74,150,70.46,13,2.90,9,1,140,50
67,60720.00,16885.30,118,77.80,12,3.29,17,2,134,47
68,55880.00,11397.71,150,60.14,11,2.23,22,28,133,17
69,76120.00,11161.49,150,63.91,15,2.17,9,2,154,35
70,61000.00,15835.34,150,71.98,12,3.10,27,16,128,29
71,61120.00,13027.64,150,68.69,12,2.54,19,5,137,39
72,71060.00,21180.21,150,75.11,14,4.16,13,8,144,35
73,60620.00,9135.34,121,59.85,12,1.77,7,7,171,15
74,66010.00,10900.31,150,58.10,13,2.13,16,10,157,17
75,65950.00,9911.28,150,53.14,13,1.95,24,8,146,22
76,75830.00,10494.97,150,58.56,15,2.05,28,6,140,26
77,51050.00,12031.67,150,64.40,10,2.35,42,4,115,39
78,50910.00,12314.53,150,66.14,10,2.40,19,18,131,32
79,65910.00,12263.44,150,65.56,13,2.40,30,2,126,42
80,55880.00,10821.29,150,61.09,11,2.12,21,6,138,35
81,56010.00,17275.37,150,76.74,11,3.38,17,4,119,60
82,60930.00,16011.40,150,72.09,12,3.14,21,29,121,29
83,80950.00,27911.12,150,83.86,16,5.50,16,7,115,62
84,66030.00,19648.77,150,76.85,13,3.85,21,9,122,48
85,71070.00,19604.21,150,74.02,14,3.85,23,3,124,50
86,50990.00,15887.57,150,71.59,10,3.11,31,17,104,48
87,61010.00,20864.37,150,82.64,12,4.09,23,8,110,59
88,50850.00,16171.57,150,84.14,10,3.15,21,1,119,59
89,45950.00,13417.30,150,73.69,9,2.62,15,0,129,56
90,71020.00,21608.86,150,76.14,14,4.24,14,5,127,54
91,60900.00,17385.73,150,76.58,12,3.41,14,36,113,37
92,65850.00,13462.09,150,67.97,13,2.64,14,20,135,31
93,66040.00,21066.18,150,75.44,13,4.14,18,8,125,49
94,60790.00,20363.10,146,82.70,12,3.98,20,15,106,59
95,66000.00,17517.54,150,71.89,13,3.43,9,10,137,44
96,56060.00,18914.65,150,81.40,11,3.69,3,10,130,57
97,60970.00,23205.85,150,85.62,12,4.55,16,8,113,63
98,50930.00,16011.90,150,73.85,10,3.13,6,6,130,58
99,66000.00,24552.42,150,83.73,13,4.82,15,13,115,57
100,51000.00,12128.06,150,70.45,10,2.36,5,22,149,24
101,51080.00,16884.87,150,80.67,10,3.29,18,1,131,50
102,70920.00,16470.23,150,72.23,14,3.23,16,12,138,34
103,61080.00,14571.96,150,67.52,12,2.85,14,0,138,48
104,61040.00,19790.36,150,77.97,12,3.88,19,21,121,39
105,51000.00,16630.25,150,77.64,10,3.25,11,19,130,40
106,55960.00,14034.57,150,71.02,11,2.74,11,9,143,37
107,55970.00,16374.24,150,76.40,11,3.20,24,6,119,51
108,60960.00,16626.36,150,70.69,12,3.26,8,23,139,30
109,55990.00,16475.41,150,79.69,11,3.21,16,5,148,31
110,60940.00,14084.92,150,60.05,12,2.77,10,5,166,19
111,56070.00,14747.21,150,69.22,11,2.88,15,8,134,43
112,60930.00,12905.35,150,64.61,12,2.52,15,1,154,30
113,70990.00,14300.28,150,63.98,14,2.81,28,4,137,31
114,56030.00,12370.68,150,69.38,11,2.41,11,2,141,46
115,65880.00,14784.16,150,71.59,13,2.90,12,1,138,49
116,55990.00,15874.92,150,77.33,11,3.10,18,9,133,40
117,55940.00,11060.01,150,65.68,11,2.15,32,6,131,31
118,61020.00,12533.63,150,66.69,12,2.44,21,0,149,30
119,70980.00,19121.68,150,80.16,14,3.75,18,12,125,45
120,60950.00,17641.55,150,78.83,12,3.45,14,1,115,70
121,60950.00,18594.38,150,83.73,12,3.63,22,1,109,68
122,55880.00,12615.57,150,69.82,11,2.46,8,0,142,50
123,65920.00,14055.30,150,74.20,13,2.74,19,0,140,41
124,60940.00,16447.63,150,71.89,12,3.22,16,5,127,52
125,60970.00,13840.82,150,68.94,12,2.71,11,8,135,46
126,60940.00,15215.71,150,73.47,12,2.98,17,2,127,54
127,56050.00,15570.47,150,70.86,11,3.04,25,19,113,43
128,61000.00,14899.92,150,66.98,12,2.92,20,5,143,32
129,61060.00,14689.74,150,69.30,12,2.87,13,2,142,43
130,66010.00,21748.60,150,77.52,13,4.27,19,24,121,36
131,55940.00,13883.54,150,66.94,11,2.71,8,24,134,34
132,91020.00,19313.70,149,75.36,18,3.79,15,8,119,58
133,65610.00,16454.47,99,69.48,13,3.23,25,12,120,43
134,76150.00,12916.83,150,64.16,15,2.52,12,18,152,18
135,76010.00,10741.73,150,56.24,15,2.10,17,26,140,17
136,66100.00,12752.50,150,65.34,13,2.49,21,32,120,27
137,76080.00,18748.20,150,76.99,15,3.67,7,7,131,55
138,65970.00,23867.11,150,73.02,13,4.70,13,19,134,34
139,60890.00,9851.32,150,59.80,12,1.93,13,3,149,35
140,70810.00,13523.94,138,66.64,14,2.64,21,7,134,38
141,70670.00,13660.81,122,73.33,14,2.67,27,7,126,40
142,75850.00,11610.06,141,59.81,15,2.27,10,23,146,21
143,61020.00,13011.07,150,59.21,12,2.55,39,7,124,30
144,60990.00,17079.71,150,73.02,12,3.35,16,13,129,42
145,75750.00,11170.80,130,61.77,15,2.18,4,14,162,20
146,60970.00,16954.84,150,76.67,12,3.31,19,9,142,30
147,60850.00,13007.43,150,63.17,12,2.55,22,17,131,30
148,55890.00,12824.89,150,63.48,11,2.51,18,11,140,31
149,70940.00,19990.45,143,76.28,14,3.92,21,18,117,44
150,85960.00,16234.17,150,66.11,17,3.19,23,5,134,38
151,55910.00,13531.26,150,65.02,11,2.65,18,30,133,19
152,70890.00,16293.23,142,69.28,14,3.19,15,6,135,44
153,66090.00,16752.33,150,69.90,13,3.28,16,17,136,31
154,76160.00,16097.30,150,68.83,15,3.15,14,9,144,33
155,81110.00,17985.96,150,69.40,16,3.53,14,28,127,31
156,55950.00,16671.52,150,70.16,11,3.27,14,26,123,37
157,86020.00,13303.30,150,65.99,17,2.60,14,7,140,39
158,75840.00,13097.90,131,63.93,15,2.56,10,10,143,37
159,70950.00,13164.11,150,64.03,14,2.58,14,19,139,28
160,60610.00,11135.49,125,61.33,12,2.17,10,20,145,25
161,55970.00,14684.18,150,69.76,11,2.87,11,9,148,32
162,66110.00,19599.18,150,78.27,13,3.83,17,21,133,29
163,71040.00,15561.37,150,72.66,14,3.04,16,10,139,35
164,61040.00,21320.97,150,81.12,12,4.17,19,12,128,41
165,61020.00,17119.04,150,65.27,12,3.37,21,37,120,22
166,65890.00,12512.63,150,60.49,13,2.46,15,9,147,29
167,56010.00,12062.80,150,64.58,11,2.35,16,3,156,25
168,65940.00,20799.83,150,75.64,13,4.08,6,19,153,22
169,86150.00,16382.22,150,74.95,17,3.20,8,0,142,50
170,65960.00,12996.20,150,71.27,13,2.54,11,5,137,47
171,55920.00,14291.30,150,72.36,11,2.79,12,9,131,48
172,76120.00,11841.31,150,62.06,15,2.31,16,5,146,33
173,75760.00,11470.76,132,55.59,15,2.25,11,19,151,19
174,66100.00,17069.79,150,73.78,13,3.33,21,21,128,30
175,80700.00,15601.47,135,59.38,16,3.08,17,29,132,22
176,81080.00,16181.95,150,68.42,16,3.17,22,18,129,31
