generation,best_fitness,mean_fitness,best_ticks,mean_ticks,best_fruits,mean_fruits,deaths_wall,deaths_self,deaths_stall,deaths_timeout
1,16390.00,160.57,72,35.09,2,0.01,68,0,132,0
2,210.00,127.14,50,43.20,0,0.00,31,0,169,0
3,210.00,136.68,50,44.19,0,0.00,27,0,173,0
4,8450.00,309.15,89,41.70,1,0.03,39,0,161,0
5,32740.00,2765.12,139,40.05,4,0.34,50,0,150,0
6,8330.00,589.46,78,24.34,1,0.09,125,0,75,0
7,8300.00,104.97,63,37.42,1,0.01,58,0,142,0
8,8350.00,127.96,74,39.35,1,0.01,49,0,151,0
9,24530.00,579.59,92,41.77,3,0.06,42,0,158,0
10,16450.00,699.60,81,41.02,2,0.07,47,1,152,0
11,16400.00,804.48,100,39.73,2,0.09,49,5,146,0
12,73140.00,3232.11,189,43.10,9,0.39,37,5,158,0
13,32530.00,2215.18,88,34.04,4,0.28,94,3,103,0
14,80900.00,1189.71,154,35.29,10,0.14,77,2,121,0
15,97230.00,2665.70,200,38.34,12,0.33,73,2,124,1
16,56660.00,2334.71,115,38.05,7,0.28,72,2,126,0
17,80910.00,7195.76,170,49.09,10,0.88,57,8,135,0
18,73080.00,2424.77,176,43.06,9,0.29,48,7,145,0
19,89260.00,8591.95,200,53.80,11,1.05,48,13,138,1
20,96860.00,12749.99,161,53.76,12,1.57,46,19,133,2
21,89250.00,7318.83,200,52.62,11,0.89,32,11,156,1
22,105290.00,13701.76,200,52.73,13,1.69,35,14,149,2
23,89370.00,12549.73,200,56.96,11,1.54,48,15,132,5
24,113320.00,7508.34,200,51.30,14,0.92,41,4,148,7
25,105260.00,4787.33,200,50.09,13,0.57,28,4,167,1
26,121290.00,11047.44,200,54.88,15,1.35,52,8,134,6
27,105310.00,12151.20,200,57.63,13,1.49,42,9,143,6
28,121430.00,11187.99,200,58.34,15,1.37,46,5,141,8
29,97280.00,11718.05,200,51.71,12,1.44,48,6,142,4
30,104930.00,8943.23,154,56.24,13,1.09,37,7,151,5
31,129430.00,9682.40,200,55.23,16,1.18,39,7,150,4
32,97290.00,10043.05,200,50.31,12,1.24,66,7,120,7
33,121270.00,8422.88,200,52.55,15,1.03,43,7,140,10
34,105320.00,11976.48,200,57.08,13,1.47,45,9,140,6
35,121280.00,13462.73,200,59.02,15,1.66,48,12,128,12
36,113460.00,9635.29,200,57.39,14,1.18,40,4,147,9
37,105340.00,10981.57,200,56.94,13,1.34,47,2,142,9
38,137300.00,9096.39,200,56.09,17,1.11,33,3,157,7
39,105210.00,10127.56,200,55.19,13,1.24,36,5,153,6
40,113360.00,8978.40,200,55.40,14,1.09,31,9,153,7
41,105310.00,13154.64,200,56.66,13,1.61,33,7,155,5
42,97230.00,6166.15,200,49.66,12,0.75,46,6,144,4
43,137150.00,7831.77,200,49.01,17,0.96,31,10,155,4
44,89170.00,8421.36,200,51.45,11,1.03,48,5,139,8
45,97310.00,12066.27,200,57.84,12,1.48,46,9,136,9
46,113290.00,9808.88,200,55.15,14,1.20,46,5,143,6
47,121340.00,7319.45,200,47.04,15,0.90,64,2,130,4
48,104830.00,6342.95,162,48.32,13,0.78,49,5,140,6
49,89210.00,7985.07,200,53.78,11,0.97,44,6,140,10
50,113520.00,7521.10,200,53.12,14,0.92,48,4,141,7
51,113250.00,9874.31,200,53.38,14,1.21,66,3,126,5
52,97190.00,11352.56,200,55.91,12,1.40,63,8,121,8
53,113260.00,10838.02,200,53.80,14,1.33,37,6,154,3
54,105290.00,10720.56,200,58.79,13,1.31,34,4,150,12
55,113320.00,13397.96,200,57.86,14,1.65,52,5,137,6
56,121370.00,12040.59,200,56.89,15,1.48,38,10,143,9
57,105360.00,14811.09,200,59.76,13,1.82,49,25,119,7
58,113180.00,13651.63,197,61.34,14,1.68,40,15,142,3
59,97250.00,10421.02,200,61.60,12,1.27,32,5,158,5
60,113230.00,16530.73,200,62.09,14,2.04,53,9,132,6
61,105260.00,11266.29,200,59.01,13,1.38,47,9,129,15
62,121300.00,14669.13,200,62.06,15,1.80,34,8,150,8
63,121360.00,14808.90,200,56.80,15,1.82,52,17,122,9
64,105300.00,12258.45,200,58.84,13,1.50,43,7,133,17
65,121290.00,13588.27,200,62.03,15,1.67,26,14,150,10
66,121400.00,14100.00,200,61.34,15,1.73,36,10,143,11
67,113390.00,15384.92,200,66.29,14,1.89,40,8,142,10
68,105280.00,9297.57,200,52.88,13,1.14,39,10,145,6
69,121440.00,11220.88,200,60.84,15,1.37,22,4,162,12
70,113330.00,13431.30,200,63.01,14,1.65,37,10,143,10
71,129460.00,9863.27,200,51.55,16,1.21,57,9,123,11
72,145360.00,17282.49,200,61.20,18,2.13,43,16,136,5
73,105200.00,12080.50,193,64.04,13,1.48,21,11,160,8
74,105110.00,10377.34,193,56.03,13,1.27,31,16,148,5
75,121290.00,7049.28,200,49.99,15,0.86,22,14,161,3
76,121270.00,9469.08,200,56.05,15,1.16,29,6,156,9
77,105440.00,14160.71,200,65.50,13,1.73,34,11,140,15
78,129310.00,11194.33,200,58.44,16,1.37,34,11,144,11
79,120980.00,12888.07,177,61.27,15,1.58,22,19,151,8
80,104790.00,10190.09,140,57.52,13,1.25,24,13,161,2
81,97300.00,9142.72,200,58.91,12,1.11,22,7,165,6
82,137390.00,16812.41,200,66.36,17,2.06,29,15,146,10
