generation,best_fitness,mean_fitness,best_ticks,mean_ticks,best_fruits,mean_fruits,deaths_wall,deaths_self,deaths_stall,deaths_timeout
1,200.00,-25.80,200,136.70,0,0.00,65,0,0,135
2,200.00,137.45,200,182.45,0,0.00,18,0,0,182
3,200.00,144.45,200,184.45,0,0.00,16,0,0,184
4,200.00,161.78,200,189.28,0,0.00,11,0,0,189
5,200.00,137.50,200,182.50,0,0.00,18,0,0,182
6,200.00,147.93,200,185.43,0,0.00,15,0,0,185
7,200.00,165.28,200,190.28,0,0.00,10,0,0,190
8,200.00,158.35,200,188.35,0,0.00,12,0,0,188
9,200.00,175.68,200,193.18,0,0.00,7,0,0,193
10,200.00,172.21,200,192.21,0,0.00,8,0,0,192
11,200.00,179.15,200,194.15,0,0.00,6,0,0,194
12,200.00,179.15,200,194.15,0,0.00,6,0,0,194
13,200.00,196.53,200,199.03,0,0.00,1,0,0,199
14,200.00,179.15,200,194.15,0,0.00,6,0,0,194
15,200.00,182.62,200,195.12,0,0.00,5,0,0,195
16,200.00,147.92,200,185.42,0,0.00,15,0,0,185
17,200.00,158.32,200,188.32,0,0.00,12,0,0,188
18,200.00,179.18,200,194.18,0,0.00,6,0,0,194
19,200.00,189.57,200,197.07,0,0.00,3,0,0,197
20,200.00,189.57,200,197.07,0,0.00,3,0,0,197
21,200.00,179.19,200,194.19,0,0.00,6,0,0,194
22,200.00,186.10,200,196.10,0,0.00,4,0,0,196
23,200.00,182.62,200,195.12,0,0.00,5,0,0,195
24,200.00,179.16,200,194.16,0,0.00,6,0,0,194
25,200.00,179.15,200,194.15,0,0.00,6,0,0,194
26,200.00,182.65,200,195.15,0,0.00,5,0,0,195
27,200.00,186.10,200,196.10,0,0.00,4,0,0,196
28,200.00,186.10,200,196.10,0,0.00,4,0,0,196
29,200.00,179.18,200,194.18,0,0.00,6,0,0,194
30,200.00,189.57,200,197.07,0,0.00,3,0,0,197
31,200.00,179.15,200,194.15,0,0.00,6,0,0,194
32,200.00,182.65,200,195.15,0,0.00,5,0,0,195
33,200.00,179.15,200,194.15,0,0.00,6,0,0,194
34,200.00,172.20,200,192.20,0,0.00,8,0,0,192
35,200.00,189.57,200,197.07,0,0.00,3,0,0,197
36,200.00,189.57,200,197.07,0,0.00,3,0,0,197
37,200.00,193.05,200,198.05,0,0.00,2,0,0,198
38,200.00,172.22,200,192.22,0,0.00,8,0,0,192
39,200.00,175.68,200,193.18,0,0.00,7,0,0,193
40,200.00,179.16,200,194.16,0,0.00,6,0,0,194
41,200.00,172.22,200,192.22,0,0.00,8,0,0,192
42,200.00,175.68,200,193.18,0,0.00,7,0,0,193
43,200.00,161.82,200,189.32,0,0.00,11,0,0,189
44,200.00,182.66,200,195.16,0,0.00,5,0,0,195
45,200.00,165.28,200,190.28,0,0.00,10,0,0,190
46,200.00,175.72,200,193.22,0,0.00,7,0,0,193
47,200.00,186.15,200,196.15,0,0.00,4,0,0,196
48,200.00,189.57,200,197.07,0,0.00,3,0,0,197
49,200.00,172.23,200,192.23,0,0.00,8,0,0,192
50,200.00,158.33,200,188.33,0,0.00,12,0,0,188
51,200.00,186.15,200,196.15,0,0.00,4,0,0,196
52,200.00,168.75,200,191.25,0,0.00,9,0,0,191
53,200.00,182.62,200,195.12,0,0.00,5,0,0,195
54,200.00,161.78,200,189.28,0,0.00,11,0,0,189
55,200.00,179.18,200,194.18,0,0.00,6,0,0,194
56,200.00,130.57,200,180.57,0,0.00,20,0,0,180
57,200.00,193.05,200,198.05,0,0.00,2,0,0,198
58,200.00,196.53,200,199.03,0,0.00,1,0,0,199
59,200.00,193.07,200,198.07,0,0.00,2,0,0,198
